procedure,predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench,significant
Expanding,iv_skew_80_100,60,1m,expanding,expanding,-1.15,-1.4195948819567774,0.9221371718543359,0.044469,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_80_100,72,1m,expanding,expanding,-0.878,-0.8713664643485156,0.8082229547005308,0.039749,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_80_100,120,1m,expanding,expanding,-0.416,-0.2306945890774625,0.5912239612766749,0.027415,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_80_100,48,3m,expanding,expanding,-0.422,0.220553759368606,0.412719954517796,0.134637,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_80_100,60,3m,expanding,expanding,-2.641,-1.0117577242711635,0.8441730460034849,0.12489,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_80_100,72,3m,expanding,expanding,-1.801,-0.43953701255316024,0.6698637653618351,0.110594,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_80_100,120,3m,expanding,expanding,-0.225,0.3190563284972756,0.37484189954044467,0.074873,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_80_100,48,6m,expanding,expanding,-0.255,0.3110647999305362,0.3778756800715229,0.228221,0.7984416530860847,0.9955887395331636,0
Expanding,iv_skew_80_100,60,6m,expanding,expanding,-3.551,-0.6245306454111942,0.7338604245071019,0.212177,0.8868656490500613,0.9955887395331636,0
Expanding,iv_skew_80_100,72,6m,expanding,expanding,-2.671,-0.27168728695518307,0.6070687613632741,0.187943,0.8449110364940271,0.9955887395331636,0
Expanding,iv_skew_80_100,120,6m,expanding,expanding,0.379,0.4566240231122703,0.32397065454198887,0.126994,0.7720990516724472,0.9955887395331636,0
Expanding,iv_skew_80_110,48,12m,expanding,expanding,-5.113,-0.48683876754971006,0.6868137025859113,-0.28159,0.7985107001872755,0.9955887395331636,0
Expanding,iv_skew_80_110,60,12m,expanding,expanding,-1.773,0.2909017220720964,0.3855632421110864,-0.269243,0.6609655579047194,0.9955887395331636,0
Expanding,iv_skew_80_110,72,12m,expanding,expanding,-1.669,0.3423626661489699,0.3660389904128233,-0.268573,0.6538043588823211,0.9955887395331636,0
Expanding,iv_skew_80_110,120,12m,expanding,expanding,-8.675,-1.6030277559899169,0.9455357368465825,-0.198115,0.9554887446028624,0.9955887395331636,0
Expanding,iv_skew_80_110,48,1m,expanding,expanding,-0.726,-0.9102973299650801,0.8186671368576848,0.021717,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_80_110,60,1m,expanding,expanding,-0.742,-0.8075956223516471,0.7903382961833925,0.02273,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_80_110,72,1m,expanding,expanding,-0.728,-0.6804010877085936,0.7518747337520628,0.022169,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_80_110,120,1m,expanding,expanding,-0.648,-0.44745999855118,0.6727285181460044,0.025117,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_80_110,48,3m,expanding,expanding,0.218,0.525001037118183,0.29979123498387056,0.083639,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_80_110,60,3m,expanding,expanding,0.599,0.6807490942664894,0.2480151329357498,0.086588,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_80_110,72,3m,expanding,expanding,0.845,0.7413742792168792,0.22923326764463114,0.08464,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_80_110,120,3m,expanding,expanding,1.558,0.8733752654958732,0.1912292841448833,0.081653,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_80_110,48,6m,expanding,expanding,-0.642,0.0705248776234186,0.47188795018230356,0.100366,0.8449110364940271,0.9955887395331636,0
Expanding,iv_skew_80_110,60,6m,expanding,expanding,0.013,0.2769643868430557,0.39090372599006235,0.104655,0.7984416530860847,0.9955887395331636,0
Expanding,iv_skew_80_110,72,6m,expanding,expanding,0.041,0.27771428733895903,0.39061584607925404,0.098308,0.7984416530860847,0.9955887395331636,0
Expanding,iv_skew_80_110,120,6m,expanding,expanding,1.04,0.4040762936538033,0.3430783084890344,0.08586,0.7841789908320786,0.9955887395331636,0
Expanding,iv_skew_80_120,48,12m,expanding,expanding,-5.459,-0.49692503812782635,0.6903790428702486,-0.372181,0.7985107001872755,0.9955887395331636,0
Expanding,iv_skew_80_120,60,12m,expanding,expanding,-1.108,0.31975926700807233,0.3745754139429965,-0.367023,0.6538043588823211,0.9955887395331636,0
Expanding,iv_skew_80_120,72,12m,expanding,expanding,-1.096,0.33465788636304095,0.3689415865634561,-0.370553,0.6538043588823211,0.9955887395331636,0
Expanding,iv_skew_80_120,120,12m,expanding,expanding,-7.965,-1.052995151426205,0.8538283928677277,-0.334475,0.900742040827493,0.9955887395331636,0
Expanding,iv_skew_80_120,48,1m,expanding,expanding,-1.09,-1.5427933449448807,0.9385595376407075,0.007001,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_80_120,60,1m,expanding,expanding,-0.946,-1.305533641569301,0.9041444002482081,0.008196,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_80_120,72,1m,expanding,expanding,-0.985,-1.209133124787927,0.8866941475065762,0.007993,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_80_120,120,1m,expanding,expanding,-1.009,-1.013621938234895,0.8446184073197591,0.009933,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_80_120,48,3m,expanding,expanding,-1.393,-0.9013101613991248,0.8162882837240091,0.035946,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_80_120,60,3m,expanding,expanding,-0.26,-0.032252071987698847,0.5128644848431935,0.0391,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_80_120,72,3m,expanding,expanding,-0.188,0.06335530433243293,0.47474178884281093,0.038336,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_80_120,120,3m,expanding,expanding,-0.023,0.17548273930892486,0.4303501661863369,0.037837,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_80_120,48,6m,expanding,expanding,-2.168,-0.8196156178008756,0.7937823662460128,0.063327,0.8965071430543204,0.9955887395331636,0
Expanding,iv_skew_80_120,60,6m,expanding,expanding,-1.105,-0.28677230232855666,0.6128566639426565,0.066472,0.8449110364940271,0.9955887395331636,0
Expanding,iv_skew_80_120,72,6m,expanding,expanding,-1.142,-0.24261107317110747,0.5958466488403693,0.059726,0.8449110364940271,0.9955887395331636,0
Expanding,iv_skew_80_120,120,6m,expanding,expanding,-0.781,-0.14393946052232998,0.5572258624321129,0.040371,0.8449110364940271,0.9955887395331636,0
Expanding,iv_skew_90_100,48,12m,expanding,expanding,0.045,0.5717340987873828,0.28375106482217527,0.896852,0.6538043588823211,0.9955887395331636,0
Expanding,iv_skew_90_100,60,12m,expanding,expanding,0.224,0.5987307337110443,0.27467622948357673,0.975432,0.6538043588823211,0.9955887395331636,0
Expanding,iv_skew_90_100,72,12m,expanding,expanding,-0.502,0.48235927182789784,0.314775374184598,1.008708,0.6538043588823211,0.9955887395331636,0
Expanding,iv_skew_90_100,120,12m,expanding,expanding,-2.946,0.12190615143967677,0.45148667191140085,0.947447,0.6794144357236174,0.9955887395331636,0
Expanding,iv_skew_90_100,48,1m,expanding,expanding,-0.614,-2.329926309872754,0.9900949769025691,0.015626,0.9992938016691973,0.9992938016691973,0
Expanding,iv_skew_90_100,60,1m,expanding,expanding,-0.628,-2.0824001114292563,0.9813470308580304,0.017312,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_90_100,72,1m,expanding,expanding,-0.558,-1.7264141081989157,0.9578635302755899,0.019433,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_90_100,120,1m,expanding,expanding,-0.553,-1.4217747644509977,0.9224541761223578,0.020832,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_90_100,48,3m,expanding,expanding,-0.341,0.17875960600166196,0.4290632320286929,0.208252,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_90_100,60,3m,expanding,expanding,-0.553,0.07024457746469986,0.4719994971216523,0.212393,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_90_100,72,3m,expanding,expanding,-0.606,0.07422848951402516,0.4704142885112692,0.214054,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_90_100,120,3m,expanding,expanding,-0.841,-0.06019677624355596,0.5240005433771909,0.208497,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_90_100,48,6m,expanding,expanding,-0.177,0.5787414481611768,0.2813818221448375,0.509133,0.730071754754173,0.9955887395331636,0
