index,predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
SMI,skew_ratio_80_110,60,6m,rolling,rolling,4.931168157146759,2.1384962675676245,0.0162382433694281,-0.10130524634689136,0.06401235968194302,0.1208852690580201
SMI,skew_ratio_80_110,60,12m,rolling,rolling,9.78884123252982,1.388049525405561,0.08256098241573798,-0.13899484259049794,0.11922784351617122,0.23129959332001257
SPX,log_slope_quad,60,1m,rolling,rolling,-2.1759363507145135,-3.0758470095577075,0.998950472407997,0.003114913237553097,0.998950472407997,0.998950472407997
SPX,log_slope_quad,60,3m,rolling,rolling,-1.5030549167132756,-0.43955298012586064,0.6698695489340634,0.01231155738988758,0.744299498815626,0.744299498815626
SPX,log_slope_quad,60,6m,rolling,rolling,2.4940948926907236,1.9011075771623664,0.028643961667358674,0.044877134936637086,0.07160990416839669,0.13749101600332164
SPX,log_slope_quad,60,12m,rolling,rolling,10.95792378807846,2.331977017904639,0.009850950107036594,0.08293593671787625,0.032836500356788645,0.10746491025858101
FTSE,log_slope_quad,60,1m,rolling,rolling,-0.5107812340895634,0.9044161280035943,0.18288739470059753,-1.5386347797668892e-4,0.6608456932165767,0.3783877131736501
FTSE,log_slope_quad,60,3m,rolling,rolling,-2.100627375548525,0.3115610678509723,0.3776870628781548,0.002934156185047038,0.5523533282644992,0.53950790202579
FTSE,log_slope_quad,60,6m,rolling,rolling,-0.6610707961939521,1.5935007368465421,0.05552395157905637,0.027470272631570626,0.09253991929842728,0.175338794460178
FTSE,log_slope_quad,60,12m,rolling,rolling,-2.092620270485268,1.64161469950057,0.050334939685620694,0.04552712962506575,0.10066987937124139,0.17103282093940864
DAX,log_slope_quad,60,1m,rolling,rolling,-1.9898852876609974,-0.06714717749004048,0.5267677317947622,0.010384114000961972,0.7525253311353746,0.6385063415694088
DAX,log_slope_quad,60,3m,rolling,rolling,-1.41292153972854,0.6859938144567946,0.24635850449675706,0.03127814106010884,0.4927170089935141,0.4223288648515835
DAX,log_slope_quad,60,6m,rolling,rolling,3.978955675148421,1.7028887180377865,0.04429444786708999,0.06669307822913816,0.08858889573417998,0.1706870773168996
DAX,log_slope_quad,60,12m,rolling,rolling,11.646914436626876,3.561956287036746,1.8405084159533878e-4,0.13243781940304025,0.0018405084159533879,0.022086100991440653
ASX,log_slope_quad,60,1m,rolling,rolling,-2.3380562045459685,0.8478753102804633,0.198253707964973,0.013355127026570435,0.6608456932165767,0.3900072943573239
ASX,log_slope_quad,60,3m,rolling,rolling,-1.372002101360792,1.3859416924607872,0.0828823542730045,0.029141535250604336,0.27627451424334837,0.23129959332001257
ASX,log_slope_quad,60,6m,rolling,rolling,7.965692780363865,2.683205308522183,0.0036460104584936865,0.05988578294896118,0.03646010458493686,0.07365879098612911
ASX,log_slope_quad,60,12m,rolling,rolling,1.2336883631839712,1.929978124619654,0.026804774138515976,0.08565632650321943,0.06701193534628994,0.13749101600332164
ESTOX,log_slope_quad,60,1m,rolling,rolling,-0.26113843522679314,0.9462088445655099,0.1720210379404646,0.0248642620603831,0.6608456932165767,0.36214955355887285
ESTOX,log_slope_quad,60,3m,rolling,rolling,5.666563855692663,1.780608811209779,0.03748818966785171,0.05840426277731485,0.18744094833925856,0.16388362248531207
ESTOX,log_slope_quad,60,6m,rolling,rolling,15.0750610480618,2.23006633558025,0.012871519663473973,0.09086154909970419,0.06435759831736987,0.11881402766283666
ESTOX,log_slope_quad,60,12m,rolling,rolling,11.777417496503706,2.364748921962483,0.009021149028003493,0.11506508047735622,0.032836500356788645,0.10746491025858101
KOSPI,log_slope_quad,60,1m,rolling,rolling,-2.0093264569768454,0.3863185672765784,0.3496303755744478,-0.015679272626016306,0.7525253311353746,0.523464110435622
KOSPI,log_slope_quad,60,3m,rolling,rolling,-1.5709013146656403,2.161051076115244,0.015345697087251907,-0.04878836667465024,0.15345697087251908,0.1208852690580201
KOSPI,log_slope_quad,60,6m,rolling,rolling,-8.83821173882775,0.5808387120795652,0.28067458081238345,-0.07229545334433211,0.3900097707464613,0.45514796888494613
KOSPI,log_slope_quad,60,12m,rolling,rolling,-5.5164754879291955,1.1929826946466633,0.11643807528155994,-0.11123318961953269,0.17533461644813858,0.28323284195468534
NASDAQ,log_slope_quad,60,1m,rolling,rolling,-1.5423932524994521,-0.33027848761484035,0.6294052269141572,0.00768030366877327,0.7867565336426965,0.7266557745435475
NASDAQ,log_slope_quad,60,3m,rolling,rolling,-1.312480312327402,0.2880680359883816,0.3866473297851495,0.00819866796098403,0.5523533282644992,0.53950790202579
NASDAQ,log_slope_quad,60,6m,rolling,rolling,-0.44745952573974623,0.3825983587772093,0.35100879367181514,0.006447503276958906,0.3900097707464613,0.523464110435622
NASDAQ,log_slope_quad,60,12m,rolling,rolling,-1.9723835393207434,0.2724683076894653,0.39263097827303806,6.050862973783832e-4,0.43625664252559787,0.5415599700317767
NIFTY,log_slope_quad,60,1m,rolling,rolling,-2.9825149039082843,0.10811141908732413,0.4569536550631733,-0.010846136695720413,0.7525253311353746,0.5932374821901708
NIFTY,log_slope_quad,60,3m,rolling,rolling,-2.3646893071067376,-1.1815655297544594,0.8813109311649717,-0.002505033315363798,0.8813109311649717,0.9117009632741088
NIFTY,log_slope_quad,60,6m,rolling,rolling,-1.6585651762638376,-0.020916032733642228,0.5083436814250585,0.013643472687337958,0.5083436814250585,0.6224616507245614
NIFTY,log_slope_quad,60,12m,rolling,rolling,-2.3749931963862547,-0.665770682643302,0.7472211566821819,-0.00825862477628894,0.7472211566821819,0.8078066558726291
NIKKEI,log_slope_quad,60,1m,rolling,rolling,-6.104256492018112,0.06424894041116547,0.4743860045245127,0.015540847467386017,0.7525253311353746,0.5992244267678054
NIKKEI,log_slope_quad,60,3m,rolling,rolling,-7.377376530206514,-0.3262324433579411,0.6278757516530247,0.00928303073340454,0.744299498815626,0.7266557745435475
NIKKEI,log_slope_quad,60,6m,rolling,rolling,-8.831917162513015,0.467310306796861,0.3201389417254115,0.04530745757420148,0.3900097707464613,0.49891783126038164
NIKKEI,log_slope_quad,60,12m,rolling,rolling,-20.22382834144054,0.6487667659176296,0.25824457090839203,0.06972975224375941,0.32280571363549004,0.43246889142746925
SMI,log_slope_quad,60,1m,rolling,rolling,-3.5994006106274234,-1.5538306431333277,0.9398875904619535,-9.267975509686622e-5,0.998950472407997,0.9639872722686701
SMI,log_slope_quad,60,3m,rolling,rolling,-2.4243693538543054,0.7811442626463712,0.2173588256465881,0.01886748201304326,0.4927170089935141,0.40484981567743983
SMI,log_slope_quad,60,6m,rolling,rolling,2.2562986055349787,1.9763414686843834,0.024058057948424742,0.03697273488521262,0.07160990416839669,0.13749101600332164
SMI,log_slope_quad,60,12m,rolling,rolling,-6.567026073661775,1.1614265845422664,0.122734231513697,0.05447035160719552,0.17533461644813858,0.28323284195468534
