index,predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
NIFTY,log_slope_quad,120,3m,expanding,expanding,-7.847836617862547,-0.6121501468014203,0.729780789027185,-0.021834602927184393,0.9080422345234624,0.9570895593799147
NIFTY,log_slope_quad,120,6m,expanding,expanding,-5.965476363871591,-0.46146814184735885,0.6777686135350545,-0.026242340754852364,0.8321182894666189,0.9434501192775976
NIFTY,log_slope_quad,120,12m,expanding,expanding,-18.684332171306384,-0.4892527313435749,0.6876686093013176,-0.06599140560426567,0.8551096563719323,0.9434501192775976
NIKKEI,log_slope_quad,120,1m,expanding,expanding,-0.03852565455886303,0.46875607419490456,0.3196220003904894,0.013046354500757744,0.9889387664309489,0.7782850969315067
NIKKEI,log_slope_quad,120,3m,expanding,expanding,-3.057209069950617,-0.382895467738547,0.6491013640097977,0.021611405728250092,0.9080422345234624,0.9434501192775976
NIKKEI,log_slope_quad,120,6m,expanding,expanding,-2.840250241289932,0.332686631114444,0.3696854210424657,0.045921225309255166,0.5281220300606653,0.7782850969315067
NIKKEI,log_slope_quad,120,12m,expanding,expanding,-5.433560336403409,0.25155621731613187,0.40069205198044716,0.09515830321377221,0.5724172171149245,0.7952766186493985
SMI,log_slope_quad,120,1m,expanding,expanding,-0.7622594637118008,-2.1340824370519114,0.9835819833597571,7.500025289455116e-4,0.9889387664309489,0.9933721268933438
SMI,log_slope_quad,120,3m,expanding,expanding,1.1140060927696815,0.6731172465603806,0.2504363513070712,0.0072961546073454855,0.9080422345234624,0.7155324323059178
SMI,log_slope_quad,120,6m,expanding,expanding,5.463737028069771,1.0395811726624165,0.14926726385655711,0.015705868345565414,0.29853452771311423,0.6091148848291909
SMI,log_slope_quad,120,12m,expanding,expanding,22.53432989784767,1.5134643554961849,0.06508087433126583,0.03426414126144799,0.2168420221724149,0.5343868399860155
SPX,skew_ratio_90_120,120,1m,expanding,expanding,-1.2993675502870117,-1.9488256425428214,0.9743418748125121,0.0035922305816024204,0.9933721268933438,0.9933721268933438
SPX,skew_ratio_90_120,120,3m,expanding,expanding,-1.0581153502400742,-1.148196639901321,0.8745563019552519,0.004935047737005822,0.9473910579742066,0.9933721268933438
SPX,skew_ratio_90_120,120,6m,expanding,expanding,2.8271984338144818,1.3604874458105598,0.08683786149772751,-0.06294892086459461,0.2894595383257584,0.5343868399860155
SPX,skew_ratio_90_120,120,12m,expanding,expanding,9.464313179135075,2.800896900133268,0.0025480398687364255,-0.1160224765430835,0.012740199343682127,0.05096079737472851
FTSE,skew_ratio_90_120,120,1m,expanding,expanding,-7.155906704871184,-2.476823429517804,0.9933721268933438,0.016221252731218837,0.9933721268933438,0.9933721268933438
FTSE,skew_ratio_90_120,120,3m,expanding,expanding,-1.9145102489897203,-1.620067005698206,0.9473910579742066,0.002611044073319027,0.9473910579742066,0.9933721268933438
FTSE,skew_ratio_90_120,120,6m,expanding,expanding,6.301761570496178,2.173862818818649,0.014857719549600449,-0.045573916760365193,0.14857719549600448,0.23772351279360718
