predictor,window_days,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
log_slope_quad,2520,252d,expanding,expanding,0.528,1.5823317775679921,0.056786924992244775,0.093597,0.07571589998965969,0.12389874543762495
skew_ratio_90_120,1008,1d,expanding,expanding,0.014,1.0989751996718915,0.13588944177254997,-0.001775,0.20178756819362836,0.19765736985098178
skew_ratio_90_120,1008,5d,expanding,expanding,0.047,0.8407387056581586,0.20024716595816766,-0.004029,0.25771412860093695,0.22564610783392994
skew_ratio_90_120,1008,21d,expanding,expanding,0.521,1.6507555528216127,0.04939424963132169,-0.015826,0.05645057100722479,0.12389874543762495
skew_ratio_90_120,1008,63d,expanding,expanding,-0.103,0.4128562597078519,0.33985596469063795,-0.026588,0.3884068167893005,0.35463231098153525
skew_ratio_90_120,1008,126d,expanding,expanding,3.681,2.1384958835040284,0.016238258938507978,-0.103002,0.021651011918010638,0.07167372825360459
skew_ratio_90_120,1008,252d,expanding,expanding,5.939,1.7332005093311291,0.04153001827034749,-0.325686,0.06644802923255598,0.1107467153875933
skew_ratio_90_120,1260,1d,expanding,expanding,-0.001,0.86726843873502,0.19289747265517115,-0.001788,0.20178756819362836,0.22564610783392994
skew_ratio_90_120,1260,5d,expanding,expanding,0.041,0.8174268601017028,0.2068422655144358,-0.004195,0.25771412860093695,0.22564610783392994
skew_ratio_90_120,1260,21d,expanding,expanding,0.687,1.9358496152763316,0.026443061092008852,-0.016742,0.042308897747214164,0.08461779549442833
skew_ratio_90_120,1260,63d,expanding,expanding,0.723,1.2742699914329612,0.10128387384569208,-0.028566,0.15721504416985013,0.16205419815310734
skew_ratio_90_120,1260,126d,expanding,expanding,1.627,1.6174491153225155,0.05289068555115127,-0.103014,0.05289068555115127,0.12389874543762495
skew_ratio_90_120,1260,252d,expanding,expanding,-3.57,1.3293834787741197,0.09186074282700778,-0.317576,0.09186074282700778,0.15747555913201333
skew_ratio_90_120,1512,1d,expanding,expanding,-0.004,0.8352532448207014,0.20178756819362836,-0.001767,0.20178756819362836,0.22564610783392994
skew_ratio_90_120,1512,5d,expanding,expanding,0.033,0.7537493794767356,0.22549986252581983,-0.004168,0.25771412860093695,0.2405331866942078
skew_ratio_90_120,1512,21d,expanding,expanding,0.627,1.7558185235795196,0.03955970022826428,-0.016682,0.052746266971019036,0.1107467153875933
skew_ratio_90_120,1512,63d,expanding,expanding,0.698,1.1854930365637493,0.1179112831273876,-0.028134,0.15721504416985013,0.1768669246910814
skew_ratio_90_120,1512,126d,expanding,expanding,2.484,1.7978101781674876,0.03610354693491842,-0.100409,0.041261196497049624,0.10831064080475526
skew_ratio_90_120,1512,252d,expanding,expanding,-2.356,1.4402837631320609,0.07489356661216613,-0.305675,0.08559264755676128,0.13826504605322978
skew_ratio_90_120,2520,1d,expanding,expanding,0.008,0.9112892951937289,0.18107148261996675,-0.001764,0.20178756819362836,0.22564610783392994
skew_ratio_90_120,2520,5d,expanding,expanding,0.083,0.912090871400687,0.1808604416877447,-0.004262,0.25771412860093695,0.22564610783392994
skew_ratio_90_120,2520,21d,expanding,expanding,0.949,1.947577930296781,0.02573274331680964,-0.016279,0.042308897747214164,0.08461779549442833
