predictor,window_days,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
log_slope_quad,1512,252d,rolling,rolling,9.505,2.532989434973348,0.00565471807563925,0.083744,0.00822504447365709,0.028571207119019365
log_slope_quad,2520,1d,rolling,rolling,0.004,0.8139435742700737,0.20783863827246618,6.67e-4,0.4074188785563425,0.2660334569887567
log_slope_quad,2520,5d,rolling,rolling,0.081,0.8794639633417275,0.18957488203809422,0.001605,0.37914976407618844,0.2459349821034736
log_slope_quad,2520,21d,rolling,rolling,1.154,1.9085782562614455,0.028158259556879298,0.006996,0.06436173613000983,0.0962521245078991
log_slope_quad,2520,63d,rolling,rolling,0.66,1.1928577422840687,0.11646254569342353,0.014549,0.14333851777652126,0.18634007310947764
log_slope_quad,2520,126d,rolling,rolling,2.173,1.8288778625081,0.03370895362994111,0.036074,0.05627987476347636,0.10112686088982334
log_slope_quad,2520,252d,rolling,rolling,-0.795,1.7745326477551264,0.037987543389215096,0.079985,0.046753899555957046,0.10214976872843624
skew_ratio_80_110,1008,1d,rolling,rolling,-0.311,0.009042615836035354,0.4963925673802785,-0.003108,0.4963925673802785,0.5016177523000709
skew_ratio_80_110,1008,5d,rolling,rolling,-0.286,0.4032929453404638,0.34336636545270016,-0.006993,0.41506786769314513,0.3745814895847638
skew_ratio_80_110,1008,21d,rolling,rolling,-0.22,1.5348850275426666,0.06240603596179334,-0.037457,0.0807507399775157,0.12186651262943185
skew_ratio_80_110,1008,63d,rolling,rolling,-2.707,1.0244146685534612,0.15281972823930742,-0.070655,0.1746511179877799,0.21574549869078696
skew_ratio_80_110,1008,126d,rolling,rolling,2.273,1.9801200627719768,0.02384501963949089,-0.169278,0.05450290203312203,0.08804314943812021
skew_ratio_80_110,1008,252d,rolling,rolling,14.179,2.6971566394945596,0.003496718266645795,-0.362041,0.006216388029592524,0.02391823175194769
skew_ratio_80_110,1260,1d,rolling,rolling,-0.187,0.4967761072815592,0.30967347288893593,-0.003152,0.4128979638519146,0.34170865973951553
skew_ratio_80_110,1260,5d,rolling,rolling,0.07,1.0496403280480042,0.1469417541470352,-0.007161,0.3358668666217947,0.21373346057750575
skew_ratio_80_110,1260,21d,rolling,rolling,1.86,2.079101591113513,0.01880400694873516,-0.039688,0.05401584556290942,0.07848628987298154
skew_ratio_80_110,1260,63d,rolling,rolling,1.81,1.7580415094843302,0.0393702233640848,-0.079216,0.10032814248609868,0.10214976872843624
skew_ratio_80_110,1260,126d,rolling,rolling,7.493,2.6326949031972546,0.00423552020607407,-0.17383,0.011294720549530853,0.02391823175194769
skew_ratio_80_110,1260,252d,rolling,rolling,17.665,3.0273056635432405,0.0012337215709208869,-0.361973,0.003947909026946838,0.019960719534352314
skew_ratio_80_110,1512,1d,rolling,rolling,-0.056,1.0047120793577382,0.15751775498704662,-0.003051,0.4074188785563425,0.21720787738743658
skew_ratio_80_110,1512,5d,rolling,rolling,0.139,1.2718883825620748,0.1017063900670331,-0.007059,0.3358668666217947,0.17129497274447678
skew_ratio_80_110,1512,21d,rolling,rolling,1.314,2.048491295161503,0.020255942086091033,-0.039923,0.05401584556290942,0.08102376834436413
skew_ratio_80_110,1512,63d,rolling,rolling,2.013,1.9404661153827352,0.02616153416362889,-0.082601,0.10032814248609868,0.09301878813734715
skew_ratio_80_110,1512,126d,rolling,rolling,8.253,2.804179742208876,0.002522238724621541,-0.172914,0.01018751656542412,0.023740753380491444
skew_ratio_80_110,1512,252d,rolling,rolling,21.859,3.3150374432627956,4.5815425020848116e-4,-0.361009,0.0020093534827963612,0.012056120896778167
skew_ratio_80_110,2520,1d,rolling,rolling,0.125,1.6842582294247546,0.04606588709697881,-0.00177,0.4074188785563425,0.10529345622166583
skew_ratio_80_110,2520,5d,rolling,rolling,0.359,1.7193688901046278,0.04277361160282417,-0.004301,0.3358668666217947,0.1052888900992595
skew_ratio_80_110,2520,21d,rolling,rolling,2.087,2.0941377455575116,0.018123855754698968,-0.021664,0.05401584556290942,0.07848628987298154
skew_ratio_80_110,2520,63d,rolling,rolling,3.274,1.6848860680466533,0.046005277515136965,-0.047294,0.10032814248609868,0.10529345622166583
skew_ratio_80_110,2520,126d,rolling,rolling,1.714,1.035533602672722,0.15020989101860233,-0.099296,0.15020989101860233,0.21522611250426602
skew_ratio_80_110,2520,252d,rolling,rolling,-4.671,0.5353360504783042,0.2962087509978722,-0.218431,0.2962087509978722,0.3385242868547111
skew_ratio_80_120,1008,1d,rolling,rolling,-0.117,0.32867802676731916,0.3711995322524939,-0.002071,0.424228036859993,0.3915951109476859
skew_ratio_80_120,1008,5d,rolling,rolling,-0.286,0.3499599315430205,0.363184384231502,-0.005671,0.41506786769314513,0.38739667651360216
skew_ratio_80_120,1008,21d,rolling,rolling,-0.058,1.631092000141379,0.051435454222831994,-0.030654,0.0807507399775157,0.10972896900870825
skew_ratio_80_120,1008,63d,rolling,rolling,-2.477,0.88288733280125,0.18864857415790356,-0.049951,0.20122514576843045,0.2459349821034736
skew_ratio_80_120,1008,126d,rolling,rolling,0.787,1.7740530734609916,0.038027185927187165,-0.118286,0.05627987476347636,0.10214976872843624
skew_ratio_80_120,1008,252d,rolling,rolling,9.092,2.6342933160429114,0.004215630885554511,-0.248759,0.006745009416887219,0.02391823175194769
skew_ratio_80_120,1260,1d,rolling,rolling,-0.051,0.7629813529809786,0.22273725833196165,-0.002135,0.4074188785563425,0.2776983999982898
skew_ratio_80_120,1260,5d,rolling,rolling,0.013,1.1135304744943069,0.1327403337945862,-0.006088,0.3358668666217947,0.20227098482984562
skew_ratio_80_120,1260,21d,rolling,rolling,1.693,2.5973960449602296,0.004696677425961752,-0.030961,0.037573419407694014,0.02504894627179601
skew_ratio_80_120,1260,63d,rolling,rolling,1.296,2.0280766930654455,0.02127621061622981,-0.057186,0.10032814248609868,0.08170064876632246
skew_ratio_80_120,1260,126d,rolling,rolling,6.36,2.8010439398944746,0.00254687914135603,-0.125276,0.01018751656542412,0.023740753380491444
skew_ratio_80_120,1260,252d,rolling,rolling,13.926,3.4388231001777863,2.921244395785358e-4,-0.252821,0.0020093534827963612,0.012056120896778167
skew_ratio_80_120,1512,1d,rolling,rolling,-0.005,1.0623367892643036,0.14404140933051018,-0.002109,0.4074188785563425,0.21273808147275353
skew_ratio_80_120,1512,5d,rolling,rolling,0.149,1.4343589388001194,0.07573492945561379,-0.006334,0.3358668666217947,0.13463987458775784
skew_ratio_80_120,1512,21d,rolling,rolling,1.731,2.6442732395200217,0.004093326999634513,-0.02992,0.037573419407694014,0.02391823175194769
skew_ratio_80_120,1512,63d,rolling,rolling,2.622,2.3977601777819775,0.008247830709655415,-0.061873,0.10032814248609868,0.03770436895842475
skew_ratio_80_120,1512,126d,rolling,rolling,8.141,3.02393626815573,0.0012475449708970196,-0.131023,0.01018751656542412,0.019960719534352314
skew_ratio_80_120,1512,252d,rolling,rolling,18.001,3.484253591180307,2.4675582600625393e-4,-0.263095,0.0020093534827963612,0.012056120896778167
skew_ratio_80_120,2520,1d,rolling,rolling,0.014,0.943582109512182,0.172691619029854,-0.001602,0.4074188785563425,0.23025549203980533
skew_ratio_80_120,2520,5d,rolling,rolling,0.153,1.1587194747079488,0.1232852749943639,-0.005243,0.3358668666217947,0.19089332902353118
skew_ratio_80_120,2520,21d,rolling,rolling,1.976,2.4408850227597862,0.007325659311664904,-0.022081,0.039070182995546154,0.03516316469599154
skew_ratio_80_120,2520,63d,rolling,rolling,2.298,1.8390878486082132,0.032951132997451095,-0.050326,0.10032814248609868,0.10112686088982334
skew_ratio_80_120,2520,126d,rolling,rolling,2.715,1.7784823989590732,0.03766233009806795,-0.099387,0.05627987476347636,0.10214976872843624
skew_ratio_80_120,2520,252d,rolling,rolling,-2.938,0.9796598914083173,0.16362701534508708,-0.206662,0.17453548303475955,0.2212421615933572
